"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d070_RDO_RZQ",1,19157,-2.479008,57.1419,6.39819
"y2_d070_RDO_RZQ",1,19207,-2.230035,50.4219,6.06885
"y2_d070_RDO_RZQ",1,19257,-2.001888,43.7784,5.70309
"y2_d070_RDO_RZQ",1,19307,-1.794573,37.2114,5.30094
"y2_d070_RDO_RZQ",1,19357,-1.608087,30.7212,4.86234
"y2_d070_RDO_RZQ",1,19407,-1.44243,24.3078,4.38735
"y2_d070_RDO_RZQ",1,19457,-1.297602,17.97099,3.87594
"y2_d070_RDO_RZQ",1,19507,-1.173603,11.71086,3.32814
"y2_d070_RDO_RZQ",1,19557,-1.070433,5.52738,2.743896
"y2_d070_RDO_RZQ",1,19607,-0.988092,-0.579399,2.123253
"y2_d070_RDO_RZQ",1,19657,-0.926583,-6.60951,1.466202
"y2_d070_RDO_RZQ",2,32757,-2.708382,58.0683,6.29961
"y2_d070_RDO_RZQ",2,32807,-2.354904,51.3816,6.17727
"y2_d070_RDO_RZQ",2,32857,-2.029287,44.7675,6.00498
"y2_d070_RDO_RZQ",2,32907,-1.731531,38.226,5.78277
"y2_d070_RDO_RZQ",2,32957,-1.461639,31.7571,5.51058
"y2_d070_RDO_RZQ",2,33007,-1.219605,25.36086,5.18844
"y2_d070_RDO_RZQ",2,33057,-1.005435,19.03725,4.81638
"y2_d070_RDO_RZQ",2,33107,-0.819123,12.7863,4.39434
"y2_d070_RDO_RZQ",2,33157,-0.660675,6.60798,3.92238
"y2_d070_RDO_RZQ",2,33207,-0.530088,0.502269,3.40044
"y2_d070_RDO_RZQ",2,33257,-0.427362,-5.5308,2.82858
"y2_d070_RDO_RZQ",3,46857,-2.807913,58.4097,6.52023
"y2_d070_RDO_RZQ",3,46907,-2.446062,51.6525,6.19554
"y2_d070_RDO_RZQ",3,46957,-2.11548,44.9736,5.82957
"y2_d070_RDO_RZQ",3,47007,-1.816164,38.3727,5.42235
"y2_d070_RDO_RZQ",3,47057,-1.548111,31.8498,4.97382
"y2_d070_RDO_RZQ",3,47107,-1.311327,25.40526,4.48404
"y2_d070_RDO_RZQ",3,47157,-1.105809,19.03875,3.95295
"y2_d070_RDO_RZQ",3,47207,-0.931557,12.75033,3.38061
"y2_d070_RDO_RZQ",3,47257,-0.788574,6.54003,2.766969
"y2_d070_RDO_RZQ",3,47307,-0.676854,0.407796,2.112054
"y2_d070_RDO_RZQ",3,47357,-0.5964,-5.64627,1.415865
"y2_d070_RDO_RZQ",4,61807,-2.171283,52.2501,6.12993
"y2_d070_RDO_RZQ",4,61857,-1.71735,45.6456,5.76636
"y2_d070_RDO_RZQ",4,61907,-1.283784,39.1044,5.35935
"y2_d070_RDO_RZQ",4,61957,-0.870576,32.6268,4.90893
"y2_d070_RDO_RZQ",4,62007,-0.477732,26.21256,4.4151
"y2_d070_RDO_RZQ",4,62057,-0.1052487,19.86165,3.87783
"y2_d070_RDO_RZQ",4,62107,0.2468703,13.57422,3.29718
"y2_d070_RDO_RZQ",4,62157,0.578628,7.35021,2.673102
"y2_d070_RDO_RZQ",4,62207,0.890022,1.189602,2.005611
"y2_d070_RDO_RZQ",4,62257,-1.0491,8.067,-0.1473
"y2_d070_RDO_RZQ",4,62307,-3.60117,12.83526,0.882555
"y2_d070_RDO_RZQ",4,62357,-5.34273,17.49714,1.790724
"y2_d070_RDO_RZQ",4,62407,-7.08366,22.10418,2.583795
"y2_d070_RDO_RZQ",4,62457,-8.82399,26.65635,3.26178
"y2_d070_RDO_RZQ",4,62507,-10.56366,31.1538,3.82464
"y2_d070_RDO_RZQ",4,62557,-12.30273,35.5962,4.27242
"y2_d070_RDO_RZQ",4,62607,-14.04114,39.9837,4.60512
"y2_d070_RDO_RZQ",4,62657,-15.77895,44.3163,4.82271
"y2_d070_RDO_RZQ",4,62707,-17.51613,48.5943,4.92519
"y2_d070_RDO_RZQ",4,62757,-19.25268,52.8174,4.91259
"y2_d070_RDO_RZQ",4,62807,-20.9886,56.9853,4.78488
"y2_d070_RDO_RZQ",4,62857,-22.72392,61.0986,4.54209
"y2_d070_RDO_RZQ",4,62907,-24.45858,65.157,4.18419
"y2_d070_RDO_RZQ",4,62957,-26.19264,69.1605,3.71118
"y2_d070_RDO_RZQ",4,63007,-27.92604,73.1094,3.12309
"y2_d070_RDO_RZQ",4,63057,-29.65884,77.0031,2.419896
"y2_d070_RDO_RZQ",4,63107,-31.3911,80.8419,1.60161
"y2_d070_RDO_RZQ",4,63157,-33.1227,84.6261,0.668223
"y2_d070_RDO_RZQ",4,63207,-34.8534,88.3554,-0.380259
"y2_d070_RDO_RZQ",4,63257,-36.3699,93.9759,0.1281348
"y2_d070_RDO_RZQ",4,63307,-37.617,96.5775,0.655008
"y2_d070_RDO_RZQ",4,63357,-38.8704,99.2322,1.051488
"y2_d070_RDO_RZQ",4,63407,-40.1301,101.9397,1.317576
"y2_d070_RDO_RZQ",4,63457,-41.3964,104.7003,1.453272
"y2_d070_RDO_RZQ",4,63507,-42.669,107.514,1.458573
"y2_d070_RDO_RZQ",4,63557,-43.9479,110.3805,1.333482
"y2_d070_RDO_RZQ",4,63607,-45.2334,113.2998,1.077999
"y2_d070_RDO_RZQ",4,63657,-46.5249,116.2722,0.692124
"y2_d070_RDO_RZQ",4,63707,-47.8233,119.2977,0.1758582
"y2_d070_RDO_RZQ",4,63757,-49.1277,122.376,-0.470802
"y2_d070_RDO_RZQ",4,63807,-50.3058,124.8669,-0.1879731
"y2_d070_RDO_RZQ",4,63857,-51.4107,127.3941,0.0036978
"y2_d070_RDO_RZQ",4,63907,-52.4553,129.8781,0.044346
"y2_d070_RDO_RZQ",4,63957,-53.439,132.3186,-0.0660285
"y2_d070_RDO_RZQ",4,64007,-54.3621,134.7153,-0.327426
"y2_d070_RDO_RZQ",4,64057,-55.2249,137.0688,-0.739848
"y2_d070_RDO_RZQ",4,64107,-56.6394,134.7753,0.00092298299999999
"y2_d070_RDO_RZQ",4,64157,-57.0267,133.0299,0.597585
"y2_d070_RDO_RZQ",4,64207,-57.4203,131.3091,1.114071
"y2_d070_RDO_RZQ",4,64257,-57.8205,129.6126,1.550379
"y2_d070_RDO_RZQ",4,64307,-58.2273,127.9407,1.906512
"y2_d070_RDO_RZQ",4,64357,-58.6407,126.2931,2.182464
"y2_d070_RDO_RZQ",4,64407,-59.0601,124.6698,2.378241
"y2_d070_RDO_RZQ",4,64457,-59.4864,123.0711,2.493837
"y2_d070_RDO_RZQ",4,64507,-59.919,121.4967,2.529261
"y2_d070_RDO_RZQ",4,64557,-60.3582,119.9469,2.484504
"y2_d070_RDO_RZQ",4,64607,-60.804,118.4214,2.359569
"y2_d070_RDO_RZQ",4,64657,-61.2561,116.9202,2.154459
"y2_d070_RDO_RZQ",4,64707,-61.7145,115.4436,1.869171
"y2_d070_RDO_RZQ",4,64757,-62.1798,113.9913,1.503705
"y2_d070_RDO_RZQ",4,64807,-62.6514,112.5636,1.058061
"y2_d070_RDO_RZQ",4,64857,-63.1293,111.1602,0.532242
"y2_d070_RDO_RZQ",4,64907,-63.6138,109.7811,-0.0737562
"y2_d070_RDO_RZQ",4,64957,-64.4856,109.5936,-0.1295085
"y2_d070_RDO_RZQ",4,65007,-64.608,108.2115,0.1065147
"y2_d070_RDO_RZQ",4,65057,-64.7745,106.9299,0.2364285
"y2_d070_RDO_RZQ",4,65107,-64.9854,105.7497,0.2602317
"y2_d070_RDO_RZQ",4,65157,-65.2404,104.67,0.1779252
"y2_d070_RDO_RZQ",4,65207,-65.5395,103.6914,-0.01049091
"y2_d070_RDO_RZQ",4,65257,-65.883,102.8136,-0.305016
"y2_d070_RDO_RZQ",4,65307,-65.5242,102.885,-0.407709
"y2_d070_RDO_RZQ",4,65357,-65.8641,102.2379,-0.322242
"y2_d070_RDO_RZQ",4,65407,-66.186,101.7408,-0.336498
"y2_d070_RDO_RZQ",4,65457,-66.4899,101.3937,-0.450477
"y2_d070_RDO_RZQ",4,65507,-66.7758,101.1966,-0.664179
"y2_d070_RDO_RZQ",4,65557,-67.7679,98.925,-0.2594694
"y2_d070_RDO_RZQ",4,65607,-68.0271,98.1471,-0.2502837
"y2_d070_RDO_RZQ",4,65657,-68.2878,97.3812,-0.241881
"y2_d070_RDO_RZQ",4,65707,-68.5497,96.627,-0.2342607
"y2_d070_RDO_RZQ",4,65757,-68.8128,95.8845,-0.2274234
"y2_d070_RDO_RZQ",4,65807,-69.0774,95.154,-0.2213688
"y2_d070_RDO_RZQ",4,65857,-69.3432,94.4355,-0.2160969
"y2_d070_RDO_RZQ",4,65907,-69.6102,93.7287,-0.211608
"y2_d070_RDO_RZQ",4,65957,-69.8787,93.0336,-0.2079018
"y2_d070_RDO_RZQ",4,66007,-70.1484,92.3508,-0.2049783
"y2_d070_RDO_RZQ",4,66057,-70.4193,91.6797,-0.2028378
"y2_d070_RDO_RZQ",4,66107,-70.6914,91.0203,-0.20148
"y2_d070_RDO_RZQ",4,66157,-70.965,90.3729,-0.2009049
"y2_d070_RDO_RZQ",4,66207,-71.2398,89.7375,-0.2011125
"y2_d070_RDO_RZQ",4,66257,-71.5161,89.1138,-0.2021031
"y2_d070_RDO_RZQ",4,66307,-71.7933,88.5018,-0.2038764
"y2_d070_RDO_RZQ",4,66357,-72.0723,87.9021,-0.2064327
"y2_d070_RDO_RZQ",4,66407,-72.3522,87.3138,-0.2097714
"y2_d070_RDO_RZQ",4,66457,-72.6336,86.7378,-0.2138931
"y2_d070_RDO_RZQ",4,66507,-72.9162,86.1735,-0.2187978
"y2_d070_RDO_RZQ",4,66557,-73.2,85.6209,-0.2244849
"y2_d070_RDO_RZQ",4,66607,-73.4853,85.0803,-0.230955
"y2_d070_RDO_RZQ",4,66657,-73.7718,84.5517,-0.2382078
"y2_d070_RDO_RZQ",4,66707,-74.0595,84.0348,-0.2462436
"y2_d070_RDO_RZQ",4,66757,-74.3487,83.5299,-0.2550621
"y2_d070_RDO_RZQ",4,66807,-74.6391,83.0367,-0.2646633
"y2_d070_RDO_RZQ",4,66857,-74.9307,82.5555,-0.2750472
"y2_d070_RDO_RZQ",4,66907,-75.2235,82.086,-0.2862141
"y2_d070_RDO_RZQ",4,66957,-75.5178,81.6285,-0.2981637
"y2_d070_RDO_RZQ",4,67007,-75.8136,81.183,-0.310896
"y2_d070_RDO_RZQ",4,67057,-76.1103,80.7492,-0.324411
"y2_d070_RDO_RZQ",4,67107,-76.4085,80.3274,-0.338709
"y2_d070_RDO_RZQ",4,67157,-76.7079,79.9173,-0.35379
"y2_d070_RDO_RZQ",4,67207,-77.0088,79.5192,-0.369654
"y2_d070_RDO_RZQ",4,67257,-77.3106,79.1328,-0.386301
"y2_d070_RDO_RZQ",5,102807,-2.43105,57.0039,6.2493
"y2_d070_RDO_RZQ",5,102857,-2.102079,50.3553,6.02997
"y2_d070_RDO_RZQ",5,102907,-1.792911,43.7949,5.75952
"y2_d070_RDO_RZQ",5,102957,-1.503543,37.3227,5.43801
"y2_d070_RDO_RZQ",5,103007,-1.233978,30.9384,5.06541
"y2_d070_RDO_RZQ",5,103057,-0.984216,24.64239,4.64172
"y2_d070_RDO_RZQ",5,103107,-0.754257,18.43446,4.16697
"y2_d070_RDO_RZQ",5,103157,-0.544098,12.31461,3.6411
"y2_d070_RDO_RZQ",5,103207,-0.353742,6.28287,3.06417
"y2_d070_RDO_RZQ",5,103257,-0.1831902,0.339249,2.436147
"y2_d070_RDO_RZQ",5,103307,2.258481,7.90062,2.943132
"y2_d070_RDO_RZQ",5,103357,3.84039,10.25319,2.878371
"y2_d070_RDO_RZQ",5,103407,5.42031,12.59103,2.734077
"y2_d070_RDO_RZQ",5,103457,6.99828,14.9142,2.510247
"y2_d070_RDO_RZQ",5,103507,8.57427,17.22267,2.206887
"y2_d070_RDO_RZQ",5,103557,10.14828,19.51644,1.823988
"y2_d070_RDO_RZQ",5,103607,11.72034,21.79551,1.361556
"y2_d070_RDO_RZQ",5,103657,13.29039,24.05988,0.819594
"y2_d070_RDO_RZQ",5,103707,14.85849,26.30952,0.1980951
