"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d100_MRJ_YJD",1,"1",1,38770,1,1
"y1_d100_MRJ_YJD",1,"1",1,39220,2,2
"y1_d100_MRJ_YJD",1,"1",1,39220,0,5
"y1_d100_MRJ_YJD",2,"1",2,53870,1,1
"y1_d100_MRJ_YJD",2,"1",2,54320,10,4
"y1_d100_MRJ_YJD",2,"1",2,54520,0,5
"y1_d100_MRJ_YJD",3,"1",3,74070,1,1
"y1_d100_MRJ_YJD",3,"1",3,74520,10,4
"y1_d100_MRJ_YJD",3,"1",3,75170,0,5
"y1_d100_MRJ_YJD",4,"1",4,96270,1,1
"y1_d100_MRJ_YJD",4,"1",4,96770,2,2
"y1_d100_MRJ_YJD",4,"1",4,96770,0,5
"y1_d100_MRJ_YJD",5,"1",5,112720,1,1
"y1_d100_MRJ_YJD",5,"1",5,113170,10,4
"y1_d100_MRJ_YJD",5,"1",5,113820,0,5
"y1_d100_MRJ_YJD",6,"1",6,135270,1,1
"y1_d100_MRJ_YJD",6,"1",6,135720,10,4
"y1_d100_MRJ_YJD",6,"1",6,136270,255,16
"y1_d100_MRJ_YJD",6,"1",6,136620,255,16
"y1_d100_MRJ_YJD",6,"1",6,137020,4,2
"y1_d100_MRJ_YJD",6,"1",6,138270,4,3
"y1_d100_MRJ_YJD",6,"1",6,139420,3,2
"y1_d100_MRJ_YJD",6,"1",6,139720,0,5
"y1_d100_MRJ_YJD",7,"2",7,170870,1,1
"y1_d100_MRJ_YJD",7,"2",7,171320,10,4
"y1_d100_MRJ_YJD",7,"2",7,172120,0,5
"y1_d100_MRJ_YJD",8,"2",8,188920,1,1
"y1_d100_MRJ_YJD",8,"2",8,189370,2,2
"y1_d100_MRJ_YJD",8,"2",8,189370,0,5
"y1_d100_MRJ_YJD",9,"2",9,204870,1,1
"y1_d100_MRJ_YJD",9,"2",9,205270,10,4
"y1_d100_MRJ_YJD",9,"2",9,205420,255,16
"y1_d100_MRJ_YJD",9,"2",9,206020,255,16
"y1_d100_MRJ_YJD",9,"2",9,206570,255,16
"y1_d100_MRJ_YJD",9,"2",9,207120,3,2
"y1_d100_MRJ_YJD",9,"2",9,208270,3,3
"y1_d100_MRJ_YJD",9,"2",9,208920,1,2
