"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d034_AVV_YJD",1,"1",1,30670,1,1
"y1_d034_AVV_YJD",1,"1",1,31132,2,2
"y1_d034_AVV_YJD",1,"1",1,31132,0,5
"y1_d034_AVV_YJD",2,"1",2,43342,1,1
"y1_d034_AVV_YJD",2,"1",2,43870,2,2
"y1_d034_AVV_YJD",2,"1",2,43870,0,5
"y1_d034_AVV_YJD",3,"1",3,58489,1,1
"y1_d034_AVV_YJD",3,"1",3,58951,2,2
"y1_d034_AVV_YJD",3,"1",3,58951,0,5
"y1_d034_AVV_YJD",4,"1",4,71788,1,1
"y1_d034_AVV_YJD",4,"1",4,72250,2,2
"y1_d034_AVV_YJD",4,"1",4,72250,0,5
"y1_d034_AVV_YJD",5,"2",5,98254,1,1
"y1_d034_AVV_YJD",5,"2",5,98716,2,2
"y1_d034_AVV_YJD",5,"2",5,98716,0,5
"y1_d034_AVV_YJD",6,"2",6,111289,1,1
"y1_d034_AVV_YJD",6,"2",6,111784,10,4
"y1_d034_AVV_YJD",6,"2",6,111883,0,5
"y1_d034_AVV_YJD",7,"2",7,129307,1,1
"y1_d034_AVV_YJD",7,"2",7,129736,2,2
"y1_d034_AVV_YJD",7,"2",7,129736,0,5
"y1_d034_AVV_YJD",8,"2",8,143992,1,1
"y1_d034_AVV_YJD",8,"2",8,144421,2,2
"y1_d034_AVV_YJD",8,"2",8,144421,0,5
"y1_d034_AVV_YJD",9,"3",9,172141,1,1
"y1_d034_AVV_YJD",9,"3",9,172636,2,2
"y1_d034_AVV_YJD",9,"3",9,172636,0,5
"y1_d034_AVV_YJD",10,"4",10,357979,1,1
"y1_d034_AVV_YJD",10,"4",10,358507,2,2
"y1_d034_AVV_YJD",10,"4",10,358507,0,5
"y1_d034_AVV_YJD",11,"4",11,369695,1,1
"y1_d034_AVV_YJD",11,"4",11,370157,10,4
"y1_d034_AVV_YJD",11,"4",11,374381,255,11
"y1_d034_AVV_YJD",11,"4",11,374843,0,5
"y1_d034_AVV_YJD",12,"5",12,412166,1,1
"y1_d034_AVV_YJD",12,"5",12,412595,10,4
"y1_d034_AVV_YJD",12,"5",12,414377,255,16
"y1_d034_AVV_YJD",12,"5",12,415301,255,16
"y1_d034_AVV_YJD",12,"5",12,417413,8,2
"y1_d034_AVV_YJD",12,"5",12,419558,8,3
"y1_d034_AVV_YJD",12,"5",12,420944,6,2
"y1_d034_AVV_YJD",12,"5",12,421670,0,5
"y1_d034_AVV_YJD",13,"6",13,450182,1,1
"y1_d034_AVV_YJD",13,"6",13,450677,2,2
"y1_d034_AVV_YJD",13,"6",13,450677,0,5
"y1_d034_AVV_YJD",14,"\N",14,472094,1,6
